CENSUS2010POP ,LOCATION
"309,321,666",United States
"54,773",".Autauga County, Alabama"
"183,112",".Baldwin County, Alabama"
"27,327",".Barbour County, Alabama"
"22,870",".Bibb County, Alabama"
"57,376",".Blount County, Alabama"
"10,876",".Bullock County, Alabama"
"20,932",".Butler County, Alabama"
"118,408",".Calhoun County, Alabama"
"34,122",".Chambers County, Alabama"
"25,963",".Cherokee County, Alabama"
"43,653",".Chilton County, Alabama"
"13,849",".Choctaw County, Alabama"
"25,766",".Clarke County, Alabama"
"13,898",".Clay County, Alabama"
"15,004",".Cleburne County, Alabama"
"50,208",".Coffee County, Alabama"
"54,524",".Colbert County, Alabama"
"13,236",".Conecuh County, Alabama"
"11,780",".Coosa County, Alabama"
"37,809",".Covington County, Alabama"
"13,869",".Crenshaw County, Alabama"
"80,456",".Cullman County, Alabama"
"50,394",".Dale County, Alabama"
"43,854",".Dallas County, Alabama"
"71,163",".DeKalb County, Alabama"
"79,552",".Elmore County, Alabama"
"38,345",".Escambia County, Alabama"
"104,459",".Etowah County, Alabama"
"17,229",".Fayette County, Alabama"
"31,746",".Franklin County, Alabama"
"26,777",".Geneva County, Alabama"
"8,991",".Greene County, Alabama"
"15,745",".Hale County, Alabama"
"17,296",".Henry County, Alabama"
"101,798",".Houston County, Alabama"
"53,184",".Jackson County, Alabama"
"658,215",".Jefferson County, Alabama"
"14,496",".Lamar County, Alabama"
"92,737",".Lauderdale County, Alabama"
"34,342",".Lawrence County, Alabama"
"140,794",".Lee County, Alabama"
"83,181",".Limestone County, Alabama"
"11,289",".Lowndes County, Alabama"
"21,505",".Macon County, Alabama"
"336,095",".Madison County, Alabama"
"20,956",".Marengo County, Alabama"
"30,816",".Marion County, Alabama"
"93,122",".Marshall County, Alabama"
"413,315",".Mobile County, Alabama"
"23,005",".Monroe County, Alabama"
"229,505",".Montgomery County, Alabama"
"119,608",".Morgan County, Alabama"
"10,563",".Perry County, Alabama"
"19,749",".Pickens County, Alabama"
"32,970",".Pike County, Alabama"
"22,937",".Randolph County, Alabama"
"53,321",".Russell County, Alabama"
"83,571",".St. Clair County, Alabama"
"196,032",".Shelby County, Alabama"
"13,730",".Sumter County, Alabama"
"82,172",".Talladega County, Alabama"
"41,476",".Tallapoosa County, Alabama"
"194,996",".Tuscaloosa County, Alabama"
