COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,SUM_FRQ_ALW
1001,0.053,0.074,0.134,0.295,0.444,0.739
1003,0.083,0.059,0.098,0.323,0.436,0.759
1005,0.067,0.121,0.12,0.201,0.491,0.692
1007,0.02,0.034,0.096,0.278,0.572,0.85
1009,0.053,0.114,0.18,0.194,0.459,0.653
1011,0.031,0.04,0.144,0.286,0.5,0.786
1013,0.102,0.053,0.257,0.137,0.451,0.588
1015,0.152,0.108,0.13,0.167,0.442,0.609
1017,0.117,0.037,0.15,0.136,0.56,0.696
1019,0.135,0.027,0.161,0.158,0.52,0.678
1021,0.06,0.07,0.058,0.194,0.618,0.812
1023,0.049,0.038,0.126,0.219,0.568,0.787
1025,0.049,0.088,0.164,0.268,0.43,0.698
1027,0.148,0.158,0.195,0.169,0.329,0.498
1029,0.151,0.125,0.138,0.217,0.368,0.585
1031,0.101,0.152,0.094,0.186,0.466,0.652
1033,0.082,0.096,0.152,0.159,0.51,0.669
1035,0.099,0.052,0.259,0.192,0.399,0.591
1037,0.055,0.131,0.167,0.263,0.384,0.647
1039,0.187,0.128,0.129,0.201,0.356,0.557
1041,0.06,0.091,0.199,0.233,0.416,0.649
1043,0.13,0.024,0.249,0.217,0.379,0.596
1045,0.089,0.113,0.118,0.22,0.46,0.68
1047,0.095,0.1,0.159,0.122,0.524,0.646
1049,0.084,0.051,0.106,0.179,0.58,0.759
1051,0.042,0.095,0.127,0.252,0.485,0.737
1053,0.114,0.026,0.188,0.285,0.387,0.672
1055,0.096,0.103,0.178,0.122,0.501,0.623
1057,0.138,0.048,0.151,0.233,0.429,0.662
1059,0.065,0.071,0.223,0.156,0.484,0.64
1061,0.176,0.131,0.089,0.158,0.445,0.603
1063,0.03,0.053,0.127,0.167,0.623,0.79
1065,0.026,0.061,0.084,0.191,0.639,0.83
1067,0.066,0.068,0.17,0.258,0.438,0.696
1069,0.085,0.079,0.135,0.268,0.433,0.701
1071,0.092,0.089,0.11,0.249,0.46,0.709
1073,0.049,0.037,0.107,0.179,0.628,0.807
1075,0.107,0.045,0.132,0.189,0.527,0.716
1077,0.093,0.119,0.141,0.179,0.469,0.648
1079,0.162,0.08,0.088,0.251,0.419,0.67
1081,0.053,0.064,0.138,0.183,0.562,0.745
1083,0.102,0.034,0.133,0.336,0.395,0.731
1085,0.12,0.073,0.145,0.199,0.464,0.663
1087,0.008,0.033,0.241,0.172,0.545,0.717
1089,0.062,0.05,0.123,0.177,0.589,0.766
