Distribution_of_claims,Census
4779736,CENSUS2010POP
54571,CENSUS2010POP
182265,CENSUS2010POP
27457,CENSUS2010POP
22915,CENSUS2010POP
57322,CENSUS2010POP
10914,CENSUS2010POP
20947,CENSUS2010POP
118572,CENSUS2010POP
34215,CENSUS2010POP
25989,CENSUS2010POP
43643,CENSUS2010POP
13859,CENSUS2010POP
25833,CENSUS2010POP
13932,CENSUS2010POP
14972,CENSUS2010POP
49948,CENSUS2010POP
54428,CENSUS2010POP
13228,CENSUS2010POP
11539,CENSUS2010POP
37765,CENSUS2010POP
13906,CENSUS2010POP
80406,CENSUS2010POP
50251,CENSUS2010POP
43820,CENSUS2010POP
71109,CENSUS2010POP
79303,CENSUS2010POP
38319,CENSUS2010POP
104430,CENSUS2010POP
17241,CENSUS2010POP
31704,CENSUS2010POP
26790,CENSUS2010POP
9045,CENSUS2010POP
15760,CENSUS2010POP
17302,CENSUS2010POP
101547,CENSUS2010POP
53227,CENSUS2010POP
658466,CENSUS2010POP
14564,CENSUS2010POP
92709,CENSUS2010POP
34339,CENSUS2010POP
140247,CENSUS2010POP
82782,CENSUS2010POP
11299,CENSUS2010POP
21452,CENSUS2010POP
334811,CENSUS2010POP
21027,CENSUS2010POP
30776,CENSUS2010POP
93019,CENSUS2010POP
412992,CENSUS2010POP
23068,CENSUS2010POP
229363,CENSUS2010POP
119490,CENSUS2010POP
10591,CENSUS2010POP
19746,CENSUS2010POP
32899,CENSUS2010POP
22913,CENSUS2010POP
52947,CENSUS2010POP
83593,CENSUS2010POP
195085,CENSUS2010POP
13763,CENSUS2010POP
82291,CENSUS2010POP
41616,CENSUS2010POP
194656,CENSUS2010POP
67023,CENSUS2010POP
17581,CENSUS2010POP
11670,CENSUS2010POP
24484,CENSUS2010POP
710231,CENSUS2010POP
3141,CENSUS2010POP
5561,CENSUS2010POP
291826,CENSUS2010POP
17013,CENSUS2010POP
997,CENSUS2010POP
1826,CENSUS2010POP
4847,CENSUS2010POP
97581,CENSUS2010POP
2508,CENSUS2010POP
2150,CENSUS2010POP
31275,CENSUS2010POP
55400,CENSUS2010POP
13477,CENSUS2010POP
13592,CENSUS2010POP
7459,CENSUS2010POP
1631,CENSUS2010POP
88995,CENSUS2010POP
9492,CENSUS2010POP
9430,CENSUS2010POP
7523,CENSUS2010POP
3815,CENSUS2010POP
5559,CENSUS2010POP
8881,CENSUS2010POP
968,CENSUS2010POP
7029,CENSUS2010POP
9636,CENSUS2010POP
2369,CENSUS2010POP
662,CENSUS2010POP
5588,CENSUS2010POP
