ReportDate,Casetatus,NumberofCases,NumberofHospitalizations,NumberofDeaths
7/21/2020,Confirmed,76427,7223,1945
7/22/2020,Confirmed,77380,7307,1948
7/23/2020,Confirmed,78182,7394,1951
7/24/2020,Confirmed,79253,7472,1964
7/25/2020,Confirmed,80480,7524,1972
7/26/2020,Confirmed,81393,7546,1975
7/27/2020,Confirmed,82871,7600,1978
7/28/2020,Confirmed,83732,7640,1991
7/29/2020,Confirmed,84700,7692,2020
7/30/2020,Confirmed,85546,7740,2035
7/31/2020,Confirmed,86501,7820,2067
8/1/2020,Confirmed,87367,7862,2105
8/2/2020,Confirmed,88324,7907,2108
8/3/2020,Confirmed,89602,7970,2108
8/4/2020,Confirmed,90728,8037,2134
8/5/2020,Confirmed,91473,8077,2164
8/6/2020,Confirmed,92244,8135,2191
8/7/2020,Confirmed,94141,8231,2208
8/8/2020,Confirmed,95326,8282,2211
8/9/2020,Confirmed,96167,8319,2214
8/10/2020,Confirmed,96807,8341,2215
8/11/2020,Confirmed,97712,8407,2232
8/12/2020,Confirmed,98374,8480,2238
8/13/2020,Confirmed,99428,8540,2248
8/14/2020,Confirmed,100603,8597,2255
8/15/2020,Confirmed,101448,8648,2265
8/16/2020,Confirmed,102299,8682,2266
8/17/2020,Confirmed,103016,8713,2268
8/18/2020,Confirmed,103809,8793,2278
8/19/2020,Confirmed,104475,8868,2293
8/20/2020,Confirmed,105289,8940,2310
8/21/2020,Confirmed,106177,9014,2319
8/22/2020,Confirmed,107268,9081,2324
4/21/2020,Confirmed,9451,1578,321
4/22/2020,Confirmed,9952,1656,347
4/23/2020,Confirmed,10627,1743,370
4/24/2020,Confirmed,11169,1829,407
4/25/2020,Confirmed,11902,1935,432
4/26/2020,Confirmed,12488,2007,444
4/27/2020,Confirmed,13036,2059,454
4/28/2020,Confirmed,13794,2158,487
4/29/2020,Confirmed,14328,2252,513
8/23/2020,Confirmed,108112,9117,2348
4/30/2020,Confirmed,15180,2313,543
5/1/2020,Confirmed,16109,2407,572
5/2/2020,Confirmed,16979,2510,607
5/3/2020,Confirmed,17873,2613,644
5/4/2020,Confirmed,18640,2681,662
5/5/2020,Confirmed,19357,2754,690
5/7/2020,Confirmed,20537,2934,745
5/8/2020,Confirmed,21274,3039,787
5/9/2020,Confirmed,22086,3143,801
5/10/2020,Confirmed,22962,3190,813
5/11/2020,Confirmed,23889,3278,823
5/12/2020,Confirmed,24601,3373,864
5/13/2020,Confirmed,25431,3498,899
5/14/2020,Confirmed,26469,3568,927
5/15/2020,Confirmed,27293,3630,944
5/16/2020,Confirmed,28233,3697,968
5/17/2020,Confirmed,28901,3749,975
5/18/2020,Confirmed,29591,3796,980
5/19/2020,Confirmed,30539,3876,1007
5/20/2020,Confirmed,31247,3951,1040
5/21/2020,Confirmed,32428,4066,1064
5/22/2020,Confirmed,33208,4117,1100
5/23/2020,Confirmed,33962,4153,1123
5/24/2020,Confirmed,34451,4185,1135
5/25/2020,Confirmed,35890,4239,1158
5/26/2020,Confirmed,37440,4294,1175
5/27/2020,Confirmed,38276,4351,1202
5/28/2020,Confirmed,39393,4410,1236
5/29/2020,Confirmed,40477,4497,1258
5/30/2020,Confirmed,41529,4570,1269
5/31/2020,Confirmed,42499,4611,1274
6/1/2020,Confirmed,43247,4660,1282
6/2/2020,Confirmed,44069,4738,1300
6/3/2020,Confirmed,44715,4852,1322
6/4/2020,Confirmed,45620,4925,1338
6/5/2020,Confirmed,46281,4978,1350
6/6/2020,Confirmed,47123,5024,1357
6/7/2020,Confirmed,48349,5075,1369
6/8/2020,Confirmed,48879,5112,1373
